SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON
22020,1610612760,OKC,Oklahoma City Thunder,0022000713,2021-03-29,OKC vs. DAL,L,240,106,38,81,0.469,9,26,0.346,21,33,0.636,10,37,47,17,8,4,16,14,-21.0,2020-21
22020,1610612760,OKC,Oklahoma City Thunder,0022000727,2021-03-31,OKC vs. TOR,W,240,113,39,86,0.453,14,33,0.424,21,28,0.75,19,45,64,19,2,6,18,16,10.0,2020-21
22020,1610612760,OKC,Oklahoma City Thunder,0022000744,2021-04-02,OKC @ PHX,L,241,103,35,89,0.393,15,38,0.395,18,23,0.783,11,27,38,19,6,3,16,17,-37.0,2020-21
22020,1610612760,OKC,Oklahoma City Thunder,0022000753,2021-04-03,OKC @ POR,L,240,85,30,85,0.353,8,34,0.235,17,24,0.708,12,34,46,17,4,6,22,21,-48.0,2020-21
22020,1610612760,OKC,Oklahoma City Thunder,0022000766,2021-04-05,OKC vs. DET,L,241,108,41,97,0.423,5,27,0.185,21,25,0.84,13,29,42,17,10,6,15,20,-24.0,2020-21
22020,1610612760,OKC,Oklahoma City Thunder,0022000781,2021-04-07,OKC vs. CHA,L,239,102,37,85,0.435,16,41,0.39,12,17,0.706,11,35,46,29,4,5,22,11,-11.0,2020-21
22020,1610612760,OKC,Oklahoma City Thunder,0022000785,2021-04-08,OKC vs. CLE,L,241,102,40,89,0.449,13,32,0.406,9,13,0.692,11,33,44,28,5,5,15,20,-27.0,2020-21
22020,1610612760,OKC,Oklahoma City Thunder,0022000199,2021-04-10,OKC vs. PHI,L,240,93,38,76,0.5,8,20,0.4,9,19,0.474,6,39,45,21,3,4,22,21,-24.0,2020-21
22020,1610612760,OKC,Oklahoma City Thunder,0022000826,2021-04-13,OKC @ UTA,L,240,96,36,93,0.387,14,34,0.412,10,18,0.556,15,35,50,13,8,1,12,23,-10.0,2020-21
22020,1610612760,OKC,Oklahoma City Thunder,0022000836,2021-04-14,OKC vs. GSW,L,239,109,44,92,0.478,7,27,0.259,14,25,0.56,17,33,50,22,6,2,21,22,-38.0,2020-21
22020,1610612760,OKC,Oklahoma City Thunder,0022000845,2021-04-16,OKC @ DET,L,240,104,39,97,0.402,7,39,0.179,19,26,0.731,18,38,56,19,13,8,21,23,-6.0,2020-21
22020,1610612760,OKC,Oklahoma City Thunder,0022000865,2021-04-18,OKC @ TOR,L,239,106,37,82,0.451,14,33,0.424,18,21,0.857,9,37,46,22,6,8,21,19,-6.0,2020-21
